file,duration,video_codec,width,height,fps,audio_codec,audio_bitrate,size_mb
videos_720x1280_mp4/01_Storybook/HB-SB-001_magic-wish_15s_1080p_6mbpss_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64190,5.12
videos_720x1280_mp4/01_Storybook/HB-SB-002_today-your-day_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64098,5.14
videos_720x1280_mp4/01_Storybook/HB-SB-003_dreams-come-true_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64098,5.19
videos_720x1280_mp4/01_Storybook/HB-SB-004_for-mom_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64098,5.19
videos_720x1280_mp4/01_Storybook/HB-SB-005_for-friend_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64098,5.19
videos_720x1280_mp4/01_Storybook/HB-SB-006_short-magic_12s_1080p_6mbps_site-preview_720x1280.mp4,9.17,h264,720,1280,24/1,aac,65178,3.18
videos_720x1280_mp4/02_Magic_Gift/HB-MG-001_open-miracle_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63538,3.4
videos_720x1280_mp4/02_Magic_Gift/HB-MG-002_warm-wishes_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63620,3.39
videos_720x1280_mp4/02_Magic_Gift/HB-MG-003_dreams-light_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63620,3.37
videos_720x1280_mp4/02_Magic_Gift/HB-MG-004_beautiful-day_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63620,3.36
videos_720x1280_mp4/02_Magic_Gift/HB-MG-005_little-magic_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63636,3.39
videos_720x1280_mp4/02_Magic_Gift/HB-MG-006_classic-wishes_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63620,3.39
videos_720x1280_mp4/03_Cat_Gift/HB-CAT-001_little-wonders_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65756,2.61
videos_720x1280_mp4/03_Cat_Gift/HB-CAT-002_universal-joy_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65756,2.6
videos_720x1280_mp4/03_Cat_Gift/HB-CAT-003_gift-of-smiles_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65756,2.6
videos_720x1280_mp4/03_Cat_Gift/HB-CAT-004_for-friend_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65756,2.6
videos_720x1280_mp4/03_Cat_Gift/HB-CAT-005_for-mom_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65756,2.6
videos_720x1280_mp4/03_Cat_Gift/HB-CAT-006_meow-delivery_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65756,2.6
videos_720x1280_mp4/04_Cake/HB-CAKE-001_sweet-wishes_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64041,5.25
videos_720x1280_mp4/04_Cake/HB-CAKE-002_candles-wish_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64041,5.27
videos_720x1280_mp4/04_Cake/HB-CAKE-003_sweet-childhood_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64041,5.26
videos_720x1280_mp4/04_Cake/HB-CAKE-004_gentle-beauty_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64041,5.26
videos_720x1280_mp4/04_Cake/HB-CAKE-005_colleague-wishes_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64041,5.24
videos_720x1280_mp4/04_Cake/HB-CAKE-006_berry-happiness_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,64041,5.27
videos_720x1280_mp4/05_Golden/HB-GOLD-001_beautiful-day_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,63979,5.37
videos_720x1280_mp4/05_Golden/HB-GOLD-002_golden-wishes_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,63979,5.39
videos_720x1280_mp4/05_Golden/HB-GOLD-003_elegant-woman_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,63979,5.4
videos_720x1280_mp4/05_Golden/HB-GOLD-004_colleague-premium_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,63979,5.34
videos_720x1280_mp4/05_Golden/HB-GOLD-005_best-moments_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,63979,5.39
videos_720x1280_mp4/05_Golden/HB-GOLD-006_luxury-short_15s_1080p_6mbps_site-preview_720x1280.mp4,15.02,h264,720,1280,24/1,aac,63979,5.39
videos_720x1280_mp4/06_Cosmic/HB-COS-001_your-universe_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65039,2.89
videos_720x1280_mp4/06_Cosmic/HB-COS-002_star-wish_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65039,2.91
videos_720x1280_mp4/06_Cosmic/HB-COS-003_cosmic-dreams_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65039,2.89
videos_720x1280_mp4/06_Cosmic/HB-COS-004_birthday-orbit_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65039,2.89
videos_720x1280_mp4/06_Cosmic/HB-COS-005_galaxy-of-joy_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65039,2.91
videos_720x1280_mp4/06_Cosmic/HB-COS-006_new-planet_8s_1080p_6mbps_site-preview_720x1280.mp4,8.03,h264,720,1280,24/1,aac,65039,2.87
videos_720x1280_mp4/07_Cat_Delivery/HB-CATD-001_delivery-of-joy_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63708,3.79
videos_720x1280_mp4/07_Cat_Delivery/HB-CATD-002_meow-express_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63708,3.79
videos_720x1280_mp4/07_Cat_Delivery/HB-CATD-003_gift-for-you_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63707,3.79
videos_720x1280_mp4/07_Cat_Delivery/HB-CATD-004_paws-and-smiles_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63707,3.78
videos_720x1280_mp4/07_Cat_Delivery/HB-CATD-005_for-child_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63697,3.79
videos_720x1280_mp4/07_Cat_Delivery/HB-CATD-006_birthday-package_10s_1080p_6mbps_site-preview_720x1280.mp4,10.08,h264,720,1280,24/1,aac,63689,3.8
